"","Rank","Team","Points","ID"
"832","20","University of Miami","419",865
"833","21","Gonzaga University","414",865
"834","22","University of California – Los Angeles","404",865
"835","23","Washington State University","402",865
"836","24","University of Minnesota","398",865
"837","25","University of Central Florida","397",865
"838","26","Oregon State University","395",865
"839","27","Northeastern University","389",865
"840","28","University of Southern California","385",865
"841","29","University of Iowa","379",865
"842","29","Clemson University","379",865
"843","31","University of Notre Dame","378",865
"844","32","Boston University","367",865
"845","33","Dartmouth College","354",865
"846","34","Massachusetts Institute of Technology","337",865
"847","35","University of Wisconsin","331",865
"848","36","University of Rhode Island","330",865
"849","37","Southern Methodist University","319",865
"850","38","University of Tulsa","316",865
"851","39","University of Oklahoma","312",865
"852","40","Michigan State University","306",865
"853","41","University of Louisville","296",865
"854","41","University of Kansas","296",865
"855","43","Boston College","294",865
"856","44","George Washington University","292",865
"857","45","United States Naval Academy","288",865
"858","46","University of California – San Diego","287",865
"859","47","University of North Carolina at Chapel Hill","281",865
"860","48","Kansas State University","259",865
"861","48","University of San Diego","259",865
"862","50","Jacksonville University","251",865
"863","51","University of Massachusetts – Amherst","249",865
"864","52","Georgetown University","248",865
"865","53","California State University – Sacramento","240",865
"866","54","Cornell University","236",865
"867","55","College of the Holy Cross","233",865
"868","56","Bucknell University","225",865
"869","57","Sacred Heart University","202",865
"870","58","Fordham University","195",865
"871","59","Temple University","193",865
"872","60","Saint Joseph's University","187",865
"873","60","Drexel University","187",865
"874","62","Loyola Marymount University","177",865
"875","63","University of Connecticut","162",865
"876","64","La Salle University","158",865
"877","65","West Virginia University","154",865
"878","66","Duquesne University","148",865
"879","67","University of Delaware","138",865
"880","67","Marist College","138",865
"881","69","University of Portland","135",865
"882","70","Fairfield University","132",865
"883","71","Old Dominion University","126",865
"884","72","Villanova University","124",865
"885","73","Stetson University","123",865
"886","74","Lehigh University","120",865
"887","75","Creighton University","116",865
"888","75","Eastern Michigan University","116",865
"889","77","Colgate University","109",865
"890","78","Saint Mary’s College of California","104",865
"891","79","Canisius College","84",865
"892","80","Robert Morris University – Pennsylvania","69",865
"893","80","George Mason University","69",865
"894","82","Loyola University Maryland","65",865
"895","83","Seattle University","64",865
"896","84","University of Dayton","53",865
"897","85","Merrimack College","50",865
"898","86","Iona College","45",865
"899","87","Drake University","30",865
"900","88","Santa Clara University","25",865
"901","89","Manhattan College","5",865
"902","Rank","School Name","Points",861
"903","1","University of Texas – Austin","544",861
"904","2","Stanford University","535",861
"905","3","University of Tennessee","533",861
"906","4","Princeton University","529",861
"907","5","Brown University","520",861
"908","6","University of California – Berkley","514",861
"909","7","Yale University","511",861
"910","8","University of Washington","496",861
"911","9","University of Michigan","491",861
"912","10","University of Pennsylvania","486",861
"913","11","Syracuse University","485",861
"914","12","Ohio State University","484",861
"915","13","Rutgers University","473",861
"916","14","Indiana University","470",861
"917","15","Duke University","468",861
"918","16","Harvard-Radcliffe","448",861
"919","17","University of Virginia","446",861
"920","18","University of Alabama","436",861
"921","18","Columbia University","436",861
"922","20","University of Miami","419",861
"923","21","Gonzaga University","414",861
"924","22","University of California – Los Angeles","404",861
"925","23","Washington State University","402",861
"926","24","University of Minnesota","398",861
"927","25","University of Central Florida","397",861
"928","26","Oregon State University","395",861
"929","27","Northeastern University","389",861
"930","28","University of Southern California","385",861
"931","29","University of Iowa","379",861
"932","29","Clemson University","379",861
"933","31","University of Notre Dame","378",861
"934","32","Boston University","367",861
"935","33","Dartmouth College","354",861
"936","34","Massachusetts Institute of Technology","337",861
"937","35","University of Wisconsin","331",861
"938","36","University of Rhode Island","330",861
"939","37","Southern Methodist University","319",861
"940","38","University of Tulsa","316",861
"941","39","University of Oklahoma","312",861
"942","40","Michigan State University","306",861
"943","41","University of Louisville","296",861
"944","41","University of Kansas","296",861
"945","43","Boston College","294",861
"946","44","George Washington University","292",861
"947","45","United States Naval Academy","288",861
"948","46","University of California – San Diego","287",861
"949","47","University of North Carolina at Chapel Hill","281",861
"950","48","Kansas State University","259",861
"951","48","University of San Diego","259",861
"952","50","Jacksonville University","251",861
"953","51","University of Massachusetts – Amherst","249",861
"954","52","Georgetown University","248",861
"955","53","California State University – Sacramento","240",861
"956","54","Cornell University","236",861
"957","55","College of the Holy Cross","233",861
"958","56","Bucknell University","225",861
"959","57","Sacred Heart University","202",861
"960","58","Fordham University","195",861
"961","59","Temple University","193",861
"962","60","Saint Joseph's University","187",861
"963","60","Drexel University","187",861
"964","62","Loyola Marymount University","177",861
"965","63","University of Connecticut","162",861
"966","64","La Salle University","158",861
"967","65","West Virginia University","154",861
"968","66","Duquesne University","148",861
"969","67","University of Delaware","138",861
"970","67","Marist College","138",861
"971","69","University of Portland","135",861
"972","70","Fairfield University","132",861
"973","71","Old Dominion University","126",861
"974","72","Villanova University","124",861
"975","73","Stetson University","123",861
"976","74","Lehigh University","120",861
"977","75","Creighton University","116",861
"978","75","Eastern Michigan University","116",861
"979","77","Colgate University","109",861
"980","78","Saint Mary’s College of California","104",861
"981","79","Canisius College","84",861
"982","80","Robert Morris University – Pennsylvania","69",861
"983","80","George Mason University","69",861
"984","82","Loyola University Maryland","65",861
"985","83","Seattle University","64",861
"986","84","University of Dayton","53",861
"987","85","Merrimack College","50",861
"988","86","Iona College","45",861
"989","87","Drake University","30",861
"990","88","Santa Clara University","25",861
"991","89","Manhattan College","5",861
"992","Rank","School Name","Points",858
"993","1","University of Texas – Austin","544",858
"994","2","Stanford University","535",858
"995","3","University of Tennessee","533",858
"996","4","Princeton University","529",858
"997","5","Brown University","520",858
"998","6","University of California – Berkley","514",858
"999","7","Yale University","511",858
"1000","8","University of Washington","496",858
"1001","9","University of Michigan","491",858
"1002","10","University of Pennsylvania","486",858
"1003","11","Syracuse University","485",858
"1004","12","Ohio State University","484",858
"1005","13","Rutgers University","473",858
"1006","14","Indiana University","470",858
"1007","15","Duke University","468",858
"1008","16","Harvard-Radcliffe","448",858
"1009","17","University of Virginia","446",858
"1010","18","University of Alabama","436",858
"1011","18","Columbia University","436",858
"1012","20","University of Miami","419",858
"1013","21","Gonzaga University","414",858
"1014","22","University of California – Los Angeles","404",858
"1015","23","Washington State University","402",858
"1016","24","University of Minnesota","398",858
"1017","25","University of Central Florida","397",858
"1018","26","Oregon State University","395",858
"1019","27","Northeastern University","389",858
"1020","28","University of Southern California","385",858
"1021","29","University of Iowa","379",858
"1022","29","Clemson University","379",858
"1023","31","University of Notre Dame","378",858
"1024","32","Boston University","367",858
"1025","33","Dartmouth College","354",858
"1026","34","Massachusetts Institute of Technology","337",858
"1027","35","University of Wisconsin","331",858
"1028","36","University of Rhode Island","330",858
"1029","37","Southern Methodist University","319",858
"1030","38","University of Tulsa","316",858
"1031","39","University of Oklahoma","312",858
"1032","40","Michigan State University","306",858
"1033","41","University of Louisville","296",858
"1034","41","University of Kansas","296",858
"1035","43","Boston College","294",858
"1036","44","George Washington University","292",858
"1037","45","United States Naval Academy","288",858
"1038","46","University of California – San Diego","287",858
"1039","47","University of North Carolina at Chapel Hill","281",858
"1040","48","Kansas State University","259",858
"1041","48","University of San Diego","259",858
"1042","50","Jacksonville University","251",858
"1043","51","University of Massachusetts – Amherst","249",858
"1044","52","Georgetown University","248",858
"1045","53","California State University – Sacramento","240",858
"1046","54","Cornell University","236",858
"1047","55","College of the Holy Cross","233",858
"1048","56","Bucknell University","225",858
"1049","57","Sacred Heart University","202",858
"1050","58","Fordham University","195",858
"1051","59","Temple University","193",858
"1052","60","Saint Joseph's University","187",858
"1053","60","Drexel University","187",858
"1054","62","Loyola Marymount University","177",858
"1055","63","University of Connecticut","162",858
"1056","64","La Salle University","158",858
"1057","65","West Virginia University","154",858
"1058","66","Duquesne University","148",858
"1059","67","University of Delaware","138",858
"1060","67","Marist College","138",858
"1061","69","University of Portland","135",858
"1062","70","Fairfield University","132",858
"1063","71","Old Dominion University","126",858
"1064","72","Villanova University","124",858
"1065","73","Stetson University","123",858
"1066","74","Lehigh University","120",858
"1067","75","Creighton University","116",858
"1068","75","Eastern Michigan University","116",858
"1069","77","Colgate University","109",858
"1070","78","Saint Mary’s College of California","104",858
"1071","79","Canisius College","84",858
"1072","80","Robert Morris University – Pennsylvania","69",858
"1073","80","George Mason University","69",858
"1074","82","Loyola University Maryland","65",858
"1075","83","Seattle University","64",858
"1076","84","University of Dayton","53",858
"1077","85","Merrimack College","50",858
"1078","86","Iona College","45",858
"1079","87","Drake University","30",858
"1080","88","Santa Clara University","25",858
"1081","89","Manhattan College","5",858
"1082","Rank","School Name","Points",845
"1083","1","University of Texas – Austin","544",845
"1084","2","Stanford University","535",845
"1085","3","University of Tennessee","533",845
"1086","4","Princeton University","529",845
"1087","5","Brown University","520",845
"1088","6","University of California – Berkley","514",845
"1089","7","Yale University","511",845
"1090","8","University of Washington","496",845
"1091","9","University of Michigan","491",845
"1092","10","University of Pennsylvania","486",845
"1093","11","Syracuse University","485",845
"1094","12","Ohio State University","484",845
"1095","13","Rutgers University","473",845
"1096","14","Indiana University","470",845
"1097","15","Duke University","468",845
"1098","16","Harvard-Radcliffe","448",845
"1099","17","University of Virginia","446",845
"1100","18","University of Alabama","436",845
"1101","18","Columbia University","436",845
"1102","20","University of Miami","419",845
"1103","21","Gonzaga University","414",845
"1104","22","University of California – Los Angeles","404",845
"1105","23","Washington State University","402",845
"1106","24","University of Minnesota","398",845
"1107","25","University of Central Florida","397",845
"1108","26","Oregon State University","395",845
"1109","27","Northeastern University","389",845
"1110","28","University of Southern California","385",845
"1111","29","University of Iowa","379",845
"1112","29","Clemson University","379",845
"1113","31","University of Notre Dame","378",845
"1114","32","Boston University","367",845
"1115","33","Dartmouth College","354",845
"1116","34","Massachusetts Institute of Technology","337",845
"1117","35","University of Wisconsin","331",845
"1118","36","University of Rhode Island","330",845
"1119","37","Southern Methodist University","319",845
"1120","38","University of Tulsa","316",845
"1121","39","University of Oklahoma","312",845
"1122","40","Michigan State University","306",845
"1123","41","University of Louisville","296",845
"1124","41","University of Kansas","296",845
"1125","43","Boston College","294",845
"1126","44","George Washington University","292",845
"1127","45","United States Naval Academy","288",845
"1128","46","University of California – San Diego","287",845
"1129","47","University of North Carolina at Chapel Hill","281",845
"1130","48","Kansas State University","259",845
"1131","48","University of San Diego","259",845
"1132","50","Jacksonville University","251",845
"1133","51","University of Massachusetts – Amherst","249",845
"1134","52","Georgetown University","248",845
"1135","53","California State University – Sacramento","240",845
"1136","54","Cornell University","236",845
"1137","55","College of the Holy Cross","233",845
"1138","56","Bucknell University","225",845
"1139","57","Sacred Heart University","202",845
"1140","58","Fordham University","195",845
"1141","59","Temple University","193",845
"1142","60","Saint Joseph's University","187",845
"1143","60","Drexel University","187",845
"1144","62","Loyola Marymount University","177",845
"1145","63","University of Connecticut","162",845
"1146","64","La Salle University","158",845
"1147","65","West Virginia University","154",845
"1148","66","Duquesne University","148",845
"1149","67","University of Delaware","138",845
"1150","67","Marist College","138",845
"1151","69","University of Portland","135",845
"1152","70","Fairfield University","132",845
"1153","71","Old Dominion University","126",845
"1154","72","Villanova University","124",845
"1155","73","Stetson University","123",845
"1156","74","Lehigh University","120",845
"1157","75","Creighton University","116",845
"1158","75","Eastern Michigan University","116",845
"1159","77","Colgate University","109",845
"1160","78","Saint Mary’s College of California","104",845
"1161","79","Canisius College","84",845
"1162","80","Robert Morris University – Pennsylvania","69",845
"1163","80","George Mason University","69",845
"1164","82","Loyola University Maryland","65",845
"1165","83","Seattle University","64",845
"1166","84","University of Dayton","53",845
"1167","85","Merrimack College","50",845
"1168","86","Iona College","45",845
"1169","87","Drake University","30",845
"1170","88","Santa Clara University","25",845
"1171","89","Manhattan College","5",845
"1172","Rank","School Name","Points",839
"1173","1","University of Texas – Austin","544",839
"1174","2","Stanford University","535",839
"1175","3","University of Tennessee","533",839
"1176","4","Princeton University","529",839
"1177","5","Brown University","520",839
"1178","6","University of California – Berkley","514",839
"1179","7","Yale University","511",839
"1180","8","University of Washington","496",839
"1181","9","University of Michigan","491",839
"1182","10","University of Pennsylvania","486",839
"1183","11","Syracuse University","485",839
"1184","12","Ohio State University","484",839
"1185","13","Rutgers University","473",839
"1186","14","Indiana University","470",839
"1187","15","Duke University","468",839
"1188","16","Harvard-Radcliffe","448",839
"1189","17","University of Virginia","446",839
"1190","18","University of Alabama","436",839
"1191","18","Columbia University","436",839
"1192","20","University of Miami","419",839
"1193","21","Gonzaga University","414",839
"1194","22","University of California – Los Angeles","404",839
"1195","23","Washington State University","402",839
"1196","24","University of Minnesota","398",839
"1197","25","University of Central Florida","397",839
"1198","26","Oregon State University","395",839
"1199","27","Northeastern University","389",839
"1200","28","University of Southern California","385",839
"1201","29","University of Iowa","379",839
"1202","29","Clemson University","379",839
"1203","31","University of Notre Dame","378",839
"1204","32","Boston University","367",839
"1205","33","Dartmouth College","354",839
"1206","34","Massachusetts Institute of Technology","337",839
"1207","35","University of Wisconsin","331",839
"1208","36","University of Rhode Island","330",839
"1209","37","Southern Methodist University","319",839
"1210","38","University of Tulsa","316",839
"1211","39","University of Oklahoma","312",839
"1212","40","Michigan State University","306",839
"1213","41","University of Louisville","296",839
"1214","41","University of Kansas","296",839
"1215","43","Boston College","294",839
"1216","44","George Washington University","292",839
"1217","45","United States Naval Academy","288",839
"1218","46","University of California – San Diego","287",839
"1219","47","University of North Carolina at Chapel Hill","281",839
"1220","48","Kansas State University","259",839
"1221","48","University of San Diego","259",839
"1222","50","Jacksonville University","251",839
"1223","51","University of Massachusetts – Amherst","249",839
"1224","52","Georgetown University","248",839
"1225","53","California State University – Sacramento","240",839
"1226","54","Cornell University","236",839
"1227","55","College of the Holy Cross","233",839
"1228","56","Bucknell University","225",839
"1229","57","Sacred Heart University","202",839
"1230","58","Fordham University","195",839
"1231","59","Temple University","193",839
"1232","60","Saint Joseph's University","187",839
"1233","60","Drexel University","187",839
"1234","62","Loyola Marymount University","177",839
"1235","63","University of Connecticut","162",839
"1236","64","La Salle University","158",839
"1237","65","West Virginia University","154",839
"1238","66","Duquesne University","148",839
"1239","67","University of Delaware","138",839
"1240","67","Marist College","138",839
"1241","69","University of Portland","135",839
"1242","70","Fairfield University","132",839
"1243","71","Old Dominion University","126",839
"1244","72","Villanova University","124",839
"1245","73","Stetson University","123",839
"1246","74","Lehigh University","120",839
"1247","75","Creighton University","116",839
"1248","75","Eastern Michigan University","116",839
"1249","77","Colgate University","109",839
"1250","78","Saint Mary’s College of California","104",839
"1251","79","Canisius College","84",839
"1252","80","Robert Morris University – Pennsylvania","69",839
"1253","80","George Mason University","69",839
"1254","82","Loyola University Maryland","65",839
"1255","83","Seattle University","64",839
"1256","84","University of Dayton","53",839
"1257","85","Merrimack College","50",839
"1258","86","Iona College","45",839
"1259","87","Drake University","30",839
"1260","88","Santa Clara University","25",839
"1261","89","Manhattan College","5",839
